"Customer ID","Customer Name","Order ID",OrderSales
CG-12520,"Claire Gute",CA-2016-152156,993.9000000000001
CG-12520,"Claire Gute",CA-2016-152156,993.9000000000001
CG-12520,"Claire Gute",CA-2016-152156,993.9000000000001
SO-20335,"Sean O'Donnell",US-2015-108966,979.9455
SO-20335,"Sean O'Donnell",US-2015-108966,979.9455
SO-20335,"Sean O'Donnell",US-2015-108966,979.9455
SO-20335,"Sean O'Donnell",US-2015-108966,979.9455
SO-20335,"Sean O'Donnell",US-2015-108966,979.9455
SO-20335,"Sean O'Donnell",US-2015-108966,979.9455
BH-11710,"Brosina Hoffman",CA-2014-115812,3714.304
BH-11710,"Brosina Hoffman",CA-2014-115812,3714.304
BH-11710,"Brosina Hoffman",CA-2014-115812,3714.304
BH-11710,"Brosina Hoffman",CA-2014-115812,3714.304
BH-11710,"Brosina Hoffman",CA-2014-115812,3714.304
BH-11710,"Brosina Hoffman",CA-2014-115812,3714.304
BH-11710,"Brosina Hoffman",CA-2014-115812,3714.304
BH-11710,"Brosina Hoffman",CA-2014-115812,3714.304
EB-13870,"Emily Burns",CA-2015-106320,1044.63
EB-13870,"Emily Burns",CA-2015-106320,1044.63
EB-13870,"Emily Burns",CA-2015-106320,1044.63
EB-13870,"Emily Burns",CA-2015-106320,1044.63
EB-13870,"Emily Burns",CA-2015-106320,1044.63
EB-13870,"Emily Burns",CA-2015-106320,1044.63
EB-13870,"Emily Burns",CA-2015-106320,1044.63
EB-13870,"Emily Burns",CA-2015-106320,1044.63
EB-13870,"Emily Burns",CA-2015-106320,1044.63
TB-21520,"Tracy Blumstein",US-2015-150630,3322.576
TB-21520,"Tracy Blumstein",US-2015-150630,3322.576
TB-21520,"Tracy Blumstein",US-2015-150630,3322.576
TB-21520,"Tracy Blumstein",US-2015-150630,3322.576
TB-21520,"Tracy Blumstein",US-2015-150630,3322.576
TB-21520,"Tracy Blumstein",US-2015-150630,3322.576
TB-21520,"Tracy Blumstein",US-2015-150630,3322.576
TB-21520,"Tracy Blumstein",US-2015-150630,3322.576
TB-21520,"Tracy Blumstein",US-2015-150630,3322.576
GH-14485,"Gene Hale",CA-2016-117590,1288.4640000000002
GH-14485,"Gene Hale",CA-2016-117590,1288.4640000000002
SN-20710,"Steve Nguyen",CA-2015-117415,1228.9532
SN-20710,"Steve Nguyen",CA-2015-117415,1228.9532
SN-20710,"Steve Nguyen",CA-2015-117415,1228.9532
SN-20710,"Steve Nguyen",CA-2015-117415,1228.9532
SN-20710,"Steve Nguyen",CA-2015-117415,1228.9532
SN-20710,"Steve Nguyen",CA-2015-117415,1228.9532
JM-15265,"Janet Molinari",CA-2016-105816,1045.21
JM-15265,"Janet Molinari",CA-2016-105816,1045.21
JM-15265,"Janet Molinari",CA-2016-105816,1045.21
JM-15265,"Janet Molinari",CA-2016-105816,1045.21
JM-15265,"Janet Molinari",CA-2016-105816,1045.21
TB-21055,"Ted Butterfield",CA-2016-111682,655.0899999999999
TB-21055,"Ted Butterfield",CA-2016-111682,655.0899999999999
TB-21055,"Ted Butterfield",CA-2016-111682,655.0899999999999
TB-21055,"Ted Butterfield",CA-2016-111682,655.0899999999999
TB-21055,"Ted Butterfield",CA-2016-111682,655.0899999999999
BS-11590,"Brendan Sweed",CA-2014-106376,1280.992
BS-11590,"Brendan Sweed",CA-2014-106376,1280.992
BS-11590,"Brendan Sweed",CA-2014-106376,1280.992
BS-11590,"Brendan Sweed",CA-2014-106376,1280.992
BS-11590,"Brendan Sweed",CA-2014-106376,1280.992
BS-11590,"Brendan Sweed",CA-2014-106376,1280.992
PA-19060,"Pete Armstrong",CA-2015-129476,339.96
PA-19060,"Pete Armstrong",CA-2015-129476,339.96
PA-19060,"Pete Armstrong",CA-2015-129476,339.96
PA-19060,"Pete Armstrong",CA-2015-129476,339.96
PA-19060,"Pete Armstrong",CA-2015-129476,339.96
PA-19060,"Pete Armstrong",CA-2015-129476,339.96
HA-14920,"Helen Andreada",CA-2015-110744,671.93
HA-14920,"Helen Andreada",CA-2015-110744,671.93
HA-14920,"Helen Andreada",CA-2015-110744,671.93
HA-14920,"Helen Andreada",CA-2015-110744,671.93
HA-14920,"Helen Andreada",CA-2015-110744,671.93
HA-14920,"Helen Andreada",CA-2015-110744,671.93
JE-16165,"Justin Ellison",CA-2016-114489,2657.81
JE-16165,"Justin Ellison",CA-2016-114489,2657.81
JE-16165,"Justin Ellison",CA-2016-114489,2657.81
BM-11140,"Becky Martin",CA-2014-139892,10539.896
BM-11140,"Becky Martin",CA-2014-139892,10539.896
BM-11140,"Becky Martin",CA-2014-139892,10539.896
BM-11140,"Becky Martin",CA-2014-139892,10539.896
CS-12130,"Chad Sievert",CA-2014-118962,472.044
CS-12130,"Chad Sievert",CA-2014-118962,472.044
CS-12130,"Chad Sievert",CA-2014-118962,472.044
CS-12130,"Chad Sievert",CA-2014-118962,472.044
DK-13150,"David Kendrick",CA-2014-166191,433.56
DK-13150,"David Kendrick",CA-2014-166191,433.56
MP-17470,"Mark Packer",CA-2015-102281,1668.988
MP-17470,"Mark Packer",CA-2015-102281,1668.988
MP-17470,"Mark Packer",CA-2015-102281,1668.988
MP-17470,"Mark Packer",CA-2015-102281,1668.988
MP-17470,"Mark Packer",CA-2015-102281,1668.988
VW-21775,"Victoria Wilson",CA-2015-146262,1816.6960000000001
VW-21775,"Victoria Wilson",CA-2015-146262,1816.6960000000001
VW-21775,"Victoria Wilson",CA-2015-146262,1816.6960000000001
VW-21775,"Victoria Wilson",CA-2015-146262,1816.6960000000001
VW-21775,"Victoria Wilson",CA-2015-146262,1816.6960000000001
VW-21775,"Victoria Wilson",CA-2015-146262,1816.6960000000001
VW-21775,"Victoria Wilson",CA-2015-146262,1816.6960000000001
VW-21775,"Victoria Wilson",CA-2015-146262,1816.6960000000001
VW-21775,"Victoria Wilson",CA-2015-146262,1816.6960000000001
JH-15910,"Jonathan Howell",CA-2016-130162,395.436
JH-15910,"Jonathan Howell",CA-2016-130162,395.436
JH-15910,"Jonathan Howell",CA-2016-130162,395.436
JH-15910,"Jonathan Howell",CA-2016-130162,395.436
JH-15910,"Jonathan Howell",CA-2016-130162,395.436
JH-15910,"Jonathan Howell",CA-2016-130162,395.436
JH-15910,"Jonathan Howell",CA-2016-130162,395.436
JB-15925,"Joni Blumstein",CA-2015-169397,627.924
JB-15925,"Joni Blumstein",CA-2015-169397,627.924
JB-15925,"Joni Blumstein",CA-2015-169397,627.924
CS-12400,"Christopher Schild",US-2017-100930,1735.8505
CS-12400,"Christopher Schild",US-2017-100930,1735.8505
CS-12400,"Christopher Schild",US-2017-100930,1735.8505
CS-12400,"Christopher Schild",US-2017-100930,1735.8505
CS-12400,"Christopher Schild",US-2017-100930,1735.8505
CS-12400,"Christopher Schild",US-2017-100930,1735.8505
CS-12400,"Christopher Schild",US-2017-100930,1735.8505
CS-12400,"Christopher Schild",US-2017-100930,1735.8505
DW-13480,"Dianna Wilson",CA-2014-131926,3745.63
DW-13480,"Dianna Wilson",CA-2014-131926,3745.63
DW-13480,"Dianna Wilson",CA-2014-131926,3745.63
DW-13480,"Dianna Wilson",CA-2014-131926,3745.63
KC-16540,"Kelly Collister",CA-2016-145625,3354.98
KC-16540,"Kelly Collister",CA-2016-145625,3354.98
KC-16540,"Kelly Collister",CA-2016-145625,3354.98
KC-16540,"Kelly Collister",CA-2016-145625,3354.98
DL-13315,"Delfina Latchford",CA-2016-146941,442.5
DL-13315,"Delfina Latchford",CA-2016-146941,442.5
DL-13315,"Delfina Latchford",CA-2016-146941,442.5
DL-13315,"Delfina Latchford",CA-2016-146941,442.5
DL-13315,"Delfina Latchford",CA-2016-146941,442.5
DL-13315,"Delfina Latchford",CA-2016-146941,442.5
DL-13315,"Delfina Latchford",CA-2016-146941,442.5
SB-20290,"Sean Braxton",US-2014-106992,5579.9400000000005
SB-20290,"Sean Braxton",US-2014-106992,5579.9400000000005
SB-20290,"Sean Braxton",US-2014-106992,5579.9400000000005
SB-20290,"Sean Braxton",US-2014-106992,5579.9400000000005
SB-20290,"Sean Braxton",US-2014-106992,5579.9400000000005
SB-20290,"Sean Braxton",US-2014-106992,5579.9400000000005
SB-20290,"Sean Braxton",US-2014-106992,5579.9400000000005
SC-20725,"Steven Cartwright",US-2015-161991,1116.48
SC-20725,"Steven Cartwright",US-2015-161991,1116.48
SC-20725,"Steven Cartwright",US-2015-161991,1116.48
SC-20725,"Steven Cartwright",US-2015-161991,1116.48
SC-20725,"Steven Cartwright",US-2015-161991,1116.48
SC-20725,"Steven Cartwright",US-2015-161991,1116.48
SC-20725,"Steven Cartwright",US-2015-161991,1116.48
SC-20725,"Steven Cartwright",US-2015-161991,1116.48
SC-20725,"Steven Cartwright",US-2015-161991,1116.48
JO-15280,"Jas O'Carroll",CA-2015-130890,1038.84
JO-15280,"Jas O'Carroll",CA-2015-130890,1038.84
JO-15280,"Jas O'Carroll",CA-2015-130890,1038.84
JO-15280,"Jas O'Carroll",CA-2015-130890,1038.84
JO-15280,"Jas O'Carroll",CA-2015-130890,1038.84
AH-10195,"Alan Haines",CA-2016-112697,1410.066
AH-10195,"Alan Haines",CA-2016-112697,1410.066
AH-10195,"Alan Haines",CA-2016-112697,1410.066
AH-10195,"Alan Haines",CA-2016-112697,1410.066
CR-12625,"Corey Roper",CA-2014-111003,334.68
CR-12625,"Corey Roper",CA-2014-111003,334.68
CR-12625,"Corey Roper",CA-2014-111003,334.68
NM-18445,"Nathan Mautz",CA-2014-164973,4807.371999999999
NM-18445,"Nathan Mautz",CA-2014-164973,4807.371999999999
NM-18445,"Nathan Mautz",CA-2014-164973,4807.371999999999
NM-18445,"Nathan Mautz",CA-2014-164973,4807.371999999999
NM-18445,"Nathan Mautz",CA-2014-164973,4807.371999999999
NM-18445,"Nathan Mautz",CA-2014-164973,4807.371999999999
DB-13615,"Doug Bickford",CA-2015-137946,979.104
DB-13615,"Doug Bickford",CA-2015-137946,979.104
DB-13615,"Doug Bickford",CA-2015-137946,979.104
DB-13615,"Doug Bickford",CA-2015-137946,979.104
DB-13615,"Doug Bickford",CA-2015-137946,979.104
DB-13615,"Doug Bickford",CA-2015-137946,979.104
AC-10420,"Alyssa Crouse",CA-2014-129924,706.064
AC-10420,"Alyssa Crouse",CA-2014-129924,706.064
AC-10420,"Alyssa Crouse",CA-2014-129924,706.064
AB-10060,"Adam Bellavance",CA-2016-129714,4438.686
