"Order ID","Customer ID","Customer Name",OrderSales
CA-2016-152156,CG-12520,"Claire Gute",2981.7000000000003
US-2015-108966,SO-20335,"Sean O'Donnell",5879.6730000000025
CA-2014-115812,BH-11710,"Brosina Hoffman",29714.43199999999
CA-2016-161389,IM-15070,"Irene Maddox",2855.8320000000003
US-2015-118983,HP-14815,"Harold Pawlan",499.4779999999999
CA-2014-105893,PK-19075,"Pete Kriz",6658.8
CA-2014-167164,AG-10270,"Alejandro Grove",277.5
CA-2014-143336,ZD-21925,"Zuschuss Donatelli",1223.8000000000002
CA-2016-137330,KB-16585,"Ken Black",877.8000000000004
US-2017-156909,SF-20065,"Sandra Flanagan",499.60400000000004
CA-2015-106320,EB-13870,"Emily Burns",9401.670000000002
CA-2016-121755,EH-13945,"Eric Hoffmann",715.5259999999998
US-2015-150630,TB-21520,"Tracy Blumstein",29903.183999999972
CA-2017-107727,MA-17560,"Matt Abelman",265.24800000000005
CA-2016-117590,GH-14485,"Gene Hale",2576.9280000000003
CA-2015-117415,SN-20710,"Steve Nguyen",7373.719199999998
CA-2017-120999,LC-16930,"Linda Cazamias",1177.344
CA-2016-101343,RA-19885,"Ruben Ausman",545.16
CA-2017-139619,ES-14080,"Erin Smith",764.928
CA-2016-118255,ON-18715,"Odella Nelson",570.96
CA-2014-146703,PO-18865,"Patrick O'Donnell",1483.72
CA-2016-169194,LH-16900,"Lena Hernandez",601.1999999999998
CA-2015-115742,DP-13000,"Darren Powers",1676.4
CA-2016-105816,JM-15265,"Janet Molinari",5226.049999999999
CA-2016-111682,TB-21055,"Ted Butterfield",3275.4499999999994
CA-2015-135545,KM-16720,"Kunst Miller",2130.3520000000003
US-2015-164175,PS-18970,"Paul Stevenson",1704.92
CA-2014-106376,BS-11590,"Brendan Sweed",7685.9519999999975
CA-2016-119823,KD-16270,"Karen Daniels",379.4
US-2015-134026,JE-15745,"Joel Eaton",12021.120000000004
CA-2016-127208,SC-20770,"Stewart Carmichael",1349.4
CA-2015-149734,JC-16105,"Julie Creighton",1004.9200000000001
US-2017-119662,CS-12400,"Christopher Schild",1843.008
CA-2017-140088,PO-18865,"Patrick O'Donnell",2113.72
CA-2016-159695,GM-14455,"Gary Mitchum",950.2079999999999
CA-2016-109806,JS-15685,"Jim Sink",400.6560000000001
CA-2015-149587,KB-16315,"Karl Braun",893.3400000000006
CA-2017-161018,PN-18775,"Parhena Norris",675.7099999999999
CA-2017-157833,KD-16345,"Katherine Ducich",256.56
CA-2016-158568,RB-19465,"Rick Bensley",1786.268000000001
US-2015-156867,LC-16870,"Lena Cacioppo",2388.792
CA-2017-119004,JM-15250,"Janet Martin",632.4479999999996
CA-2015-129476,PA-19060,"Pete Armstrong",2039.76
CA-2017-146780,CV-12805,"Cynthia Voltz",335.68
